epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3545,2.09129,2.8631,1.76243,0.21136,0.15068,0.08547,0.02392,2.85098,2.90442,2.09499,0.00065873,0.00065873,0.00065873
2,41.7102,2.19039,2.4831,1.88444,0.10896,0.13927,0.05497,0.01566,2.9179,5.12685,2.32068,0.00131228,0.00131228,0.00131228
3,58.3257,2.28713,2.54153,1.93791,0.1331,0.11187,0.05446,0.01623,2.86953,3.55668,2.02933,0.00195262,0.00195262,0.00195262
4,75.4245,2.22019,2.38686,1.92794,0.08028,0.03425,0.01869,0.0057,3.37586,5.21437,2.40663,0.0019406,0.0019406,0.0019406
5,92.1884,2.22874,2.42555,1.92615,0.2108,0.15068,0.10315,0.0291,2.85574,3.17296,2.10534,0.0019208,0.0019208,0.0019208
6,109.603,2.09128,2.25378,1.82777,0.30662,0.22146,0.17344,0.05284,2.57069,2.7759,1.80961,0.001901,0.001901,0.001901
7,126.25,2.10219,2.19337,1.78835,0.26276,0.23744,0.1577,0.0439,2.57139,2.36429,1.85383,0.0018812,0.0018812,0.0018812
8,143.471,2.08382,2.22774,1.82956,0.31729,0.20266,0.14804,0.04573,2.63461,3.24273,1.91589,0.0018614,0.0018614,0.0018614
9,160.194,2.00514,2.1663,1.79431,0.32132,0.23059,0.20857,0.06526,2.49124,2.24017,1.80209,0.0018416,0.0018416,0.0018416
10,177.4,2.02153,2.1496,1.74017,0.27778,0.23288,0.17006,0.04979,2.51378,2.29994,1.77229,0.0018218,0.0018218,0.0018218
11,194.042,1.98718,2.12857,1.78384,0.23702,0.22146,0.16865,0.04974,2.53737,2.2722,1.8196,0.001802,0.001802,0.001802
12,211.375,1.98049,2.08965,1.75687,0.34209,0.26941,0.22071,0.0731,2.52702,2.17598,1.76206,0.0017822,0.0017822,0.0017822
13,228.415,1.93009,2.04477,1.73083,0.337,0.21918,0.18429,0.06312,2.43313,2.23453,1.69889,0.0017624,0.0017624,0.0017624
14,245.224,1.94903,2.02028,1.69383,0.36714,0.24886,0.22724,0.068,2.38516,2.09563,1.66121,0.0017426,0.0017426,0.0017426
15,262.266,1.92494,1.9512,1.68855,0.32778,0.26484,0.21252,0.07058,2.48684,2.10912,1.71849,0.0017228,0.0017228,0.0017228
16,278.912,1.88915,1.96835,1.63833,0.41352,0.26027,0.22083,0.07208,2.45746,2.24624,1.73399,0.001703,0.001703,0.001703
17,295.99,1.89385,1.913,1.64334,0.3825,0.29452,0.23214,0.074,2.32464,2.20423,1.65256,0.0016832,0.0016832,0.0016832
18,312.593,1.83547,1.94209,1.68243,0.2743,0.24658,0.18101,0.05887,2.40345,2.22863,1.69887,0.0016634,0.0016634,0.0016634
19,329.79,1.87429,1.83918,1.62446,0.34189,0.29224,0.2152,0.06742,2.41507,2.09316,1.67523,0.0016436,0.0016436,0.0016436
20,346.568,1.83031,1.90394,1.6165,0.34018,0.30016,0.2457,0.0795,2.35867,2.05194,1.69522,0.0016238,0.0016238,0.0016238
21,363.764,1.84063,1.85819,1.62593,0.32979,0.24886,0.21519,0.06732,2.42266,2.14058,1.68305,0.001604,0.001604,0.001604
22,380.435,1.83291,1.84011,1.63605,0.33471,0.25571,0.24266,0.08311,2.35344,2.01898,1.69062,0.0015842,0.0015842,0.0015842
23,397.472,1.85397,1.82459,1.60679,0.45848,0.27854,0.27005,0.08788,2.41375,2.03832,1.67795,0.0015644,0.0015644,0.0015644
24,414.119,1.82104,1.82933,1.60538,0.31254,0.31963,0.22368,0.0701,2.4198,2.10051,1.65397,0.0015446,0.0015446,0.0015446
25,431.282,1.74368,1.70892,1.5428,0.33251,0.30137,0.22309,0.07408,2.34036,2.05218,1.65753,0.0015248,0.0015248,0.0015248
